"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"#<U+0623><U+062D><U+0644><U+0627><U+0645> #<U+0634><U+0645><U+0633> #<U+0637><U+0631><U+0628> #<U+0627><U+063A><U+0627><U+0646><U+064A> #<U+063A><U+0646><U+0627><U+0626><U+064A><U+0627><U+062A> #<U+0645><U+0648><U+0633><U+064A><U+0642><U+0649>  #<U+0641><U+0627><U+0634><U+064A><U+0646><U+0633><U+062A><U+0627> #<U+0645><U+0634><U+0627><U+0647><U+064A><U+0631> #<U+0645><U+0634><U+0627><U+0647><U+064A><U+0631>_<U+0633><U+0646><U+0627><U+0628>
 #<U+0627><U+0644><U+0643><U+0648><U+064A><U+062A> #<U+0627><U+0644><U+062E><U+0644><U+064A><U+062C> #<U+062F><U+0628><U+064A> #<U+0634><U+0639><U+0631>  #<U+0641><U+0646> #<U+0635><U+0648><U+062A>… https://t.co/cBeXbKpyai",FALSE,0,,2018-07-11 05:42:44,TRUE,,"1016920708205744129",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","wleefalazman",0,FALSE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 05:40:33,FALSE,,"1016920158709821440",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","arth60413",566,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 05:31:34,FALSE,,"1016917895555657729",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","chrisjaf24",566,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 05:29:46,FALSE,,"1016917444441583616",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","mcfan_itasmiler",566,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 05:17:09,FALSE,,"1016914266065022976",,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","elliana0920",566,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 05:16:08,FALSE,,"1016914013156925441",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","wahhabaras",566,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 05:10:40,FALSE,,"1016912638398230528",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","mileyskinnyx",566,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 05:09:28,FALSE,,"1016912332709130240",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","MileyRCyrusGER",566,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 05:04:48,FALSE,,"1016911159289614336",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","MileyItaFan",566,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 05:01:39,FALSE,,"1016910367677612033",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Emacnx",566,TRUE,FALSE,,
